age,income,education_level,satisfaction_score
56,22695,Bachelor,1
46,68190,High School,2
32,25258,Bachelor,1
60,107538,PhD,5
25,59504,PhD,5
38,53159,Bachelor,7
56,33986,Master,9
36,81858,Bachelor,9
40,32666,Master,3
28,58660,High School,3
28,23561,High School,3
41,46854,High School,4
53,84505,PhD,8
57,72251,High School,6
41,42662,Master,8
20,28392,High School,1
39,50535,Bachelor,8
19,98603,Bachelor,4
41,72256,PhD,1
61,109135,Bachelor,8
47,55222,Master,4
55,97373,High School,6
19,99575,PhD,8
38,116354,High School,4
50,104651,High School,3
29,83335,Master,9
39,30965,Bachelor,3
61,44538,Bachelor,9
42,90592,High School,2
44,118018,PhD,2
59,28110,Bachelor,2
45,99309,PhD,6
33,47266,Bachelor,3
32,72992,PhD,9
64,102948,Master,4
61,118806,PhD,1
20,26910,Master,4
54,110982,Master,1
24,20206,PhD,5
38,107054,Master,4
26,107897,High School,8
56,43419,Master,8
35,70636,Bachelor,7
21,70015,PhD,3
42,74268,High School,1
31,107939,PhD,1
26,38141,Bachelor,3
43,100356,Bachelor,6
19,91910,Bachelor,7
37,76044,Master,6
45,87214,Master,6
64,53827,PhD,6
24,75820,PhD,3
61,82623,High School,6
25,101734,High School,8
64,95450,PhD,2
52,113426,Master,5
31,42299,Bachelor,1
34,63585,PhD,1
53,84044,High School,5
57,62557,Master,3
21,69080,PhD,4
19,22693,PhD,3
23,115003,Master,1
59,115259,PhD,1
21,89163,Master,5
46,45939,Bachelor,6
35,68925,Master,3
43,62941,Master,9
61,41834,Master,5
51,38047,PhD,8
27,46105,PhD,1
53,95766,Master,5
31,35707,PhD,3
48,41976,High School,1
32,64262,High School,4
25,43776,PhD,5
31,50080,PhD,7
40,86842,Master,1
57,81373,Bachelor,3
38,26776,PhD,2
33,112787,High School,9
62,75016,Master,6
35,29474,PhD,3
64,78053,High School,8
41,41959,High School,8
43,25530,Bachelor,2
42,114856,Master,6
62,23748,Master,7
58,117504,Bachelor,2
46,118098,Bachelor,2
32,33545,Master,1
62,86199,Master,8
18,54766,PhD,1
42,93530,PhD,9
24,113557,Bachelor,6
26,81087,PhD,7
41,115839,High School,7
18,88840,PhD,3
61,74384,PhD,2
